epoch,train_loss,val_loss,train_accuracy,val_accuracy,epoch_time
1,1.6300623892593384,1.3710985380172729,0.40518,0.4981,7.5884857177734375
2,1.1992146722030639,1.0906026525497436,0.56778,0.6101,7.841394424438477
3,1.0514279565811158,1.001536659526825,0.62474,0.6437,8.024906158447266
4,0.963289674949646,1.0029398895263673,0.66268,0.6523,7.474281072616577
5,0.902691660118103,0.9122177340507507,0.68444,0.6894,7.561079978942871
6,0.86711715467453,0.8559760330200196,0.69804,0.7005,8.319362878799438
7,0.8246113896942139,0.8188300610542297,0.71734,0.7133,7.81429386138916
8,0.7845387477493286,0.7752593624114991,0.72904,0.7308,7.775349378585815
9,0.747983354473114,0.7789840374946594,0.74338,0.7302,7.796896934509277
10,0.7048040874099731,0.7708573861122131,0.75838,0.7406,8.208018064498901
11,0.6661252775764466,0.6782118992805481,0.77148,0.7675,7.9115283489227295
12,0.6311285722732544,0.7174526441574096,0.78456,0.7513,7.906648635864258
13,0.5993910745429992,0.6453881732940674,0.79294,0.7796,8.108814716339111
14,0.5736214151954651,0.5990012201309204,0.80382,0.7959,8.251553773880005
15,0.5463286694717407,0.5744053092956543,0.81128,0.8046,7.884216785430908
16,0.5218591965579986,0.5270898662567138,0.82206,0.8181,7.820181369781494
17,0.4893312389564514,0.543467915725708,0.83242,0.818,7.522987365722656
18,0.46766066411972046,0.49922361040115354,0.84094,0.8261,7.647934675216675
19,0.4466876158332825,0.4498197022438049,0.84654,0.8439,8.000485181808472
20,0.4188565619373322,0.46545045957565306,0.85626,0.8402,7.78843092918396
21,0.39737942129135134,0.46631109371185303,0.8613,0.8383,7.887439250946045
22,0.3700351341342926,0.43625453929901126,0.87342,0.8521,7.699082374572754
23,0.3490515327453613,0.42940635623931883,0.87834,0.8535,7.5666868686676025
24,0.33043010153770447,0.4124243956565857,0.88542,0.8612,7.8476409912109375
25,0.3109157383155823,0.3974945271492004,0.89326,0.8647,7.913283109664917
26,0.29511631450653075,0.38448246545791626,0.89838,0.8698,7.587045669555664
27,0.2814429123687744,0.3831619162559509,0.90432,0.8717,7.685563325881958
28,0.27285658102989196,0.38083638401031494,0.90546,0.8735,7.65406060218811
29,0.26377235713005065,0.37863100843429565,0.90902,0.8719,7.842870712280273
30,0.25807005105018616,0.3763214136123657,0.91204,0.8733,7.591615676879883
