epoch,train_loss,val_loss,train_accuracy,val_accuracy,epoch_time
1,1.3884502874565126,1.2306642561912537,0.49858,0.5788,10.491214275360107
2,0.895914501247406,0.9654318309783936,0.68232,0.6622,9.63226866722107
3,0.7269070464897156,0.8028147391319275,0.74362,0.7373,9.70233964920044
4,0.641439156627655,0.8983415101051331,0.77944,0.7271,10.59997034072876
5,0.585935432806015,0.68054734582901,0.79818,0.7704,8.855350971221924
6,0.5400235397338867,0.5453364918231964,0.8134,0.8113,10.384036302566528
7,0.49694365442276,0.6950320867538452,0.83022,0.7657,10.025519847869873
8,0.46317159690856935,0.5783495710372925,0.84288,0.8034,10.000687837600708
9,0.4292668572807312,0.6368317085266113,0.85382,0.7959,10.110976457595825
10,0.40497773927688596,0.5474076945304871,0.86228,0.8237,9.67377758026123
11,0.37835739473342894,0.41027883291244505,0.8701,0.8632,10.143362760543823
12,0.3527881171226501,0.4494558320999146,0.87982,0.8503,11.041155815124512
13,0.33031312797546386,0.409292928981781,0.88748,0.8602,9.859419822692871
14,0.30511019238471987,0.42257410416603086,0.89608,0.8604,10.247111797332764
15,0.2808976916027069,0.3790361409664154,0.9046,0.8753,9.937998056411743
16,0.2591512383985519,0.34032972407341006,0.91208,0.8886,9.90633749961853
17,0.23761966490745545,0.33245200481414794,0.91906,0.8892,9.953892469406128
18,0.21451540289878845,0.34354797048568725,0.92638,0.8865,10.962033987045288
19,0.19152997949123382,0.3120720369338989,0.93368,0.8982,9.959129571914673
20,0.1683923840332031,0.3017236156463623,0.94314,0.9005,9.770660400390625
21,0.15113457982063294,0.2817891592025757,0.94764,0.9076,10.44169282913208
22,0.12380451045513154,0.27396547708511354,0.95738,0.9143,11.620033740997314
23,0.1072609580373764,0.2675270409107208,0.96344,0.9153,9.611790418624878
24,0.08897054530620575,0.27664313611984254,0.97,0.9191,10.176363706588745
25,0.07310293322563172,0.26246768398284914,0.97566,0.9219,9.59510350227356
26,0.061510197578668595,0.25066972160339357,0.97982,0.9248,9.765653371810913
27,0.050369243711233136,0.2441695767402649,0.98402,0.9299,9.565820455551147
28,0.04307840474247932,0.2409177248954773,0.98706,0.9295,10.054971933364868
29,0.03935744375348091,0.23845833158493043,0.98826,0.9303,10.978829145431519
30,0.03821008890509606,0.23985456314086914,0.98868,0.9292,11.11053204536438
