epoch,train_loss,val_loss,train_accuracy,val_accuracy,epoch_time
1,2.0906834896850586,1.7677345911026001,0.2117,0.3169,9.714298486709595
2,1.6618841078186035,1.5075794801712037,0.37408,0.4391,8.002005815505981
3,1.4067577492141723,1.2796804306030274,0.48244,0.5249,7.746222257614136
4,1.2064751498031616,1.106289408683777,0.55986,0.5888,8.169999599456787
5,1.0597357692337037,0.946762068939209,0.61612,0.6638,7.925443887710571
6,0.9382900638008118,0.8708908136367798,0.66484,0.6965,7.85148811340332
7,0.8384497735214234,0.8199710403442383,0.70104,0.7162,8.078572273254395
8,0.7600099819374084,0.7627397731781006,0.73202,0.7384,8.524266242980957
9,0.7066695128059387,0.7001811592578888,0.75384,0.7517,8.172916650772095
10,0.6373631643104554,0.6464570395469665,0.77528,0.777,8.167056322097778
11,0.5960321891403199,0.641730030632019,0.79332,0.7781,8.382079601287842
12,0.5633352698135375,0.6430900928497314,0.80354,0.7809,7.984253406524658
13,0.5194292883872986,0.5521281601905823,0.8208,0.8105,8.42031979560852
14,0.4871549626541138,0.545941436958313,0.83004,0.8123,7.960253715515137
15,0.4591353638458252,0.5593150119304657,0.84032,0.8105,7.958468198776245
16,0.4291305589866638,0.5273239904403687,0.85048,0.8215,8.504621267318726
17,0.4026578672027588,0.48081053671836854,0.85976,0.8369,8.484855890274048
18,0.37927151737213133,0.4660002456188202,0.86878,0.843,8.134653806686401
19,0.352162592086792,0.46170304932594297,0.8765,0.8454,8.52052092552185
20,0.3344280352306366,0.4476625168323517,0.88268,0.8493,8.66889762878418
21,0.3034403808116913,0.4706857699871063,0.89578,0.8457,8.40681529045105
22,0.28641335211753843,0.4493083500385284,0.9003,0.8527,8.335558652877808
23,0.26439161444664,0.4313546648979187,0.90858,0.8547,8.456493854522705
24,0.2536632924175262,0.4409956743717194,0.9108,0.8555,8.410717010498047
25,0.2398195076751709,0.42917193284034727,0.91698,0.8611,8.502346515655518
26,0.2285392806148529,0.4339624183177948,0.922,0.8608,8.312716007232666
27,0.21500585886955262,0.4324200590133667,0.92634,0.8608,8.488632678985596
28,0.20963557421207427,0.42683508505821227,0.92922,0.8628,8.187731742858887
29,0.20541019980430603,0.4275321781158447,0.9309,0.8637,8.36770749092102
30,0.20363792658805846,0.42557602915763854,0.93172,0.8647,8.405118942260742
