epoch,train_loss,val_loss,train_accuracy,val_accuracy,epoch_time
1,1.1073812579727174,0.8555473758697509,0.3811,0.4908,8.198955535888672
2,0.7189807411575317,0.7420827711105347,0.56938,0.5833,7.715187072753906
3,0.5951824391365051,0.6439545141220093,0.6406,0.6533,7.972240686416626
4,0.521515405254364,0.67465035572052,0.68056,0.6315,7.889586687088013
5,0.4803869890117645,0.5569866746425629,0.70682,0.6757,8.303452730178833
6,0.4337517098426819,0.46090426766872405,0.72926,0.7245,8.561112642288208
7,0.4036167754173279,0.42933335957527163,0.749,0.7401,8.358352661132812
8,0.36858515869140623,0.3571699164867401,0.7676,0.77,8.13056993484497
9,0.3435250033950806,0.4614503113746643,0.78054,0.7324,7.5586607456207275
10,0.3152313539123535,0.38828284442424776,0.79626,0.7715,7.895664215087891
11,0.29359458266258237,0.3121128263950348,0.8084,0.8005,7.729858636856079
12,0.2715213130617142,0.3412589076042175,0.8188,0.79,7.958996534347534
13,0.2532195733642578,0.30433699102401734,0.83106,0.8044,7.838567733764648
14,0.2350711039352417,0.29824432559013364,0.83752,0.8,7.468368768692017
15,0.2198431534433365,0.2792962811946869,0.84492,0.82,7.745582818984985
16,0.20144236839294433,0.23546337604522705,0.85602,0.8452,7.881181001663208
17,0.18247020257949828,0.2538212103843689,0.86786,0.8292,7.594192028045654
18,0.16738581200122835,0.22624109094142913,0.87506,0.8535,7.5904340744018555
19,0.1535423905944824,0.21809561915397643,0.88358,0.8563,7.812002182006836
20,0.13735653131723405,0.2148038667678833,0.89222,0.8568,7.982421636581421
21,0.12069479249954224,0.21501479830741882,0.9019,0.8607,7.735516548156738
22,0.1088977182674408,0.1933776085138321,0.90996,0.8708,7.6382691860198975
23,0.09415173750400543,0.190787294113636,0.91838,0.8714,7.792128324508667
24,0.08464284755468368,0.18877422823905946,0.92416,0.876,7.922399044036865
25,0.07428953122854233,0.18207465724945068,0.93088,0.8817,7.500842094421387
26,0.06455009483575821,0.1855088879585266,0.93844,0.8806,7.6624321937561035
27,0.05956982799053192,0.18653437368869782,0.94322,0.8811,7.794625520706177
28,0.05409189964234829,0.18346865248680114,0.94694,0.8828,7.630997657775879
29,0.05087481243848801,0.1830004665374756,0.94934,0.8848,7.5079345703125
30,0.048635081828832624,0.1827932779312134,0.95084,0.8841,7.409515142440796
