epoch,train_loss,val_loss,train_accuracy,val_accuracy,epoch_time
1,1.4231152544021606,1.1340130376815796,0.47854,0.5959,7.739989757537842
2,1.0054451232147217,0.8783553334236145,0.64272,0.6897,7.837283611297607
3,0.8256821237564087,0.8026715158462524,0.7082,0.7195,8.295765399932861
4,0.718905197353363,0.7408016810894013,0.7503,0.7417,7.792460203170776
5,0.6390745470046997,0.6750617038726807,0.77756,0.7668,7.827910423278809
6,0.5902699436759948,0.7757688914299011,0.79552,0.7363,8.127478122711182
7,0.5442063234138489,0.6517041182518005,0.81174,0.7822,7.882739305496216
8,0.5048370483207703,0.5757951658248901,0.82412,0.8104,7.598101377487183
9,0.4645293491077423,0.571175123500824,0.83758,0.8042,7.697934865951538
10,0.43499056264877317,0.5231697576522827,0.84712,0.8254,8.095794916152954
11,0.40376156178474426,0.5263809006690979,0.86014,0.8248,7.900155544281006
12,0.37421354115486144,0.49395373067855836,0.87172,0.8356,7.766317844390869
13,0.35257823545455935,0.4939829093933105,0.8786,0.8356,7.776882886886597
14,0.3274963676071167,0.4535877100944519,0.88564,0.8503,8.286139249801636
15,0.3072808988571167,0.4646872873067856,0.89296,0.8455,8.031940937042236
16,0.2821757550048828,0.46156257925033567,0.90136,0.8481,7.566376209259033
17,0.2578855899238586,0.4325522631645203,0.90972,0.8618,7.705692768096924
18,0.23682130224227904,0.4253893516540527,0.91808,0.8637,8.126743793487549
19,0.2170532258605957,0.40878009481430055,0.92418,0.8718,7.772116184234619
20,0.19964052153110504,0.412929377746582,0.92948,0.8732,7.62730598449707
21,0.17906998779296876,0.4240354214191437,0.93754,0.8699,7.53706955909729
22,0.15915918108463287,0.40484597158432006,0.9448,0.8793,7.941455602645874
23,0.14087629636764526,0.42409846482276914,0.95098,0.8775,7.48728084564209
24,0.12550739452838897,0.4167338642120361,0.95576,0.8805,7.719278812408447
25,0.11206451366424561,0.4099821605205536,0.9608,0.8807,7.785717010498047
26,0.09863619511842728,0.41316810598373416,0.96624,0.884,7.6789772510528564
27,0.09446445533752441,0.41334167890548706,0.96822,0.8857,7.599074125289917
28,0.08870154171228409,0.41103104877471924,0.97006,0.8852,7.593792676925659
29,0.081844729783535,0.41076719241142273,0.97282,0.8863,8.031342029571533
30,0.08244258354187012,0.41048924221992494,0.97254,0.8863,7.993784189224243
